[2025-10-13 12:18:38] Phone: +639537882603 | Success: Yes | Quota Left: 28 | Error: none | Response: {"success":true,"textId":"973311760329117287","quotaRemaining":28}
[2025-10-13 12:18:39] Phone: 4568 | Success: No | Quota Left: unknown | Error: Invalid phone number or bad request. If your phone number contains a +, please check that you are URL encoding it properly. | Response: {"success":false,"error":"Invalid phone number or bad request. If your phone number contains a +, please check that you are URL encoding it properly."}
[2025-10-13 12:18:40] Phone: 14586 | Success: No | Quota Left: unknown | Error: Invalid phone number or bad request. If your phone number contains a +, please check that you are URL encoding it properly. | Response: {"success":false,"error":"Invalid phone number or bad request. If your phone number contains a +, please check that you are URL encoding it properly."}
[2025-10-13 16:41:39] Phone: +639537882603 | Success: Yes | Quota Left: 26 | Error: none | Response: {"success":true,"textId":"981771760344899068","quotaRemaining":26}
[2025-10-13 16:41:40] Phone: 4568 | Success: No | Quota Left: unknown | Error: Invalid phone number or bad request. If your phone number contains a +, please check that you are URL encoding it properly. | Response: {"success":false,"error":"Invalid phone number or bad request. If your phone number contains a +, please check that you are URL encoding it properly."}
[2025-10-13 16:41:41] Phone: 14586 | Success: No | Quota Left: unknown | Error: Invalid phone number or bad request. If your phone number contains a +, please check that you are URL encoding it properly. | Response: {"success":false,"error":"Invalid phone number or bad request. If your phone number contains a +, please check that you are URL encoding it properly."}
[2025-10-16 11:41:26] Phone: +639671688448 | Response: {"http_code":401,"response_code":"UNAUTHORIZED","response_msg":"Authorization failed.","data":null}
[2025-10-16 11:42:35] Phone: +639671688448 | Response: {"http_code":401,"response_code":"UNAUTHORIZED","response_msg":"Authorization failed.","data":null}
[2025-10-16 12:06:33] Phone: +639671688448 | Response: {"http_code":401,"response_code":"UNAUTHORIZED","response_msg":"Authorization failed.","data":null}
[2025-10-16 12:30:54] Phone: +639537882603 | Response: {"http_code":401,"response_code":"UNAUTHORIZED","response_msg":"Authorization failed.","data":null}
[2025-10-16 12:30:54] Phone: 4568 | Response: {"http_code":401,"response_code":"UNAUTHORIZED","response_msg":"Authorization failed.","data":null}
[2025-10-16 12:30:55] Phone: 14586 | Response: {"http_code":401,"response_code":"UNAUTHORIZED","response_msg":"Authorization failed.","data":null}
[2025-10-16 12:34:48] Phone: +639671688448 | Response: {"http_code":401,"response_code":"UNAUTHORIZED","response_msg":"Authorization failed.","data":null}
[2025-10-16 15:25:43] Phone: aweaw | HTTP: 200 | Response: {"http_code":200,"response_code":"SUCCESS","response_msg":"Messages queued for delivery.","data":{"total_price":0,"total_count":1,"queued_count":0,"messages":[{"to":"","body":"Hello, this is Our Store.\nHELLO, THIS IS ONLY TESTING FOR THE SMS \n\nThank You!","from":"ClickSend","schedule":"","message_id":"1F0AA615-37B3-60F8-828A-79AD25ED0381","custom_string":"","is_shared_system_number":true,"status":"INVALID_RECIPIENT"}],"_currency":{"currency_name_short":"USD","currency_prefix_d":"$","currency_prefix_c":"\u00a2","currency_name_long":"US Dollars"},"blocked_count":0}}
[2025-10-16 15:25:44] Phone: awe | HTTP: 200 | Response: {"http_code":200,"response_code":"SUCCESS","response_msg":"Messages queued for delivery.","data":{"total_price":0,"total_count":1,"queued_count":0,"messages":[{"to":"","body":"Hello, this is Our Store.\nHELLO, THIS IS ONLY TESTING FOR THE SMS \n\nThank You!","from":"ClickSend","schedule":"","message_id":"1F0AA615-3C95-6044-957A-D573C4DE87D8","custom_string":"","is_shared_system_number":true,"status":"INVALID_RECIPIENT"}],"_currency":{"currency_name_short":"USD","currency_prefix_d":"$","currency_prefix_c":"\u00a2","currency_name_long":"US Dollars"},"blocked_count":0}}
[2025-10-16 15:25:45] Phone: 14586 | HTTP: 200 | Response: {"http_code":200,"response_code":"SUCCESS","response_msg":"Messages queued for delivery.","data":{"total_price":0,"total_count":1,"queued_count":0,"messages":[{"to":"14586","body":"Hello, this is Our Store.\nHELLO, THIS IS ONLY TESTING FOR THE SMS \n\nThank You!","from":"ClickSend","schedule":"","message_id":"1F0AA615-4345-6740-8A53-97422D8F67B3","custom_string":"","is_shared_system_number":true,"status":"INVALID_RECIPIENT"}],"_currency":{"currency_name_short":"USD","currency_prefix_d":"$","currency_prefix_c":"\u00a2","currency_name_long":"US Dollars"},"blocked_count":0}}
[2025-10-16 15:25:45] Phone: test | HTTP: 200 | Response: {"http_code":200,"response_code":"SUCCESS","response_msg":"Messages queued for delivery.","data":{"total_price":0,"total_count":1,"queued_count":0,"messages":[{"to":"","body":"Hello, this is Our Store.\nHELLO, THIS IS ONLY TESTING FOR THE SMS \n\nThank You!","from":"ClickSend","schedule":"","message_id":"1F0AA615-49E9-6D9E-ADDB-ED51007A25C3","custom_string":"","is_shared_system_number":true,"status":"INVALID_RECIPIENT"}],"_currency":{"currency_name_short":"USD","currency_prefix_d":"$","currency_prefix_c":"\u00a2","currency_name_long":"US Dollars"},"blocked_count":0}}
[2025-10-16 15:25:46] Phone: test | HTTP: 200 | Response: {"http_code":200,"response_code":"SUCCESS","response_msg":"Messages queued for delivery.","data":{"total_price":0,"total_count":1,"queued_count":0,"messages":[{"to":"","body":"Hello, this is Our Store.\nHELLO, THIS IS ONLY TESTING FOR THE SMS \n\nThank You!","from":"ClickSend","schedule":"","message_id":"1F0AA615-50CE-6C4A-8C00-631F4F23C404","custom_string":"","is_shared_system_number":true,"status":"INVALID_RECIPIENT"}],"_currency":{"currency_name_short":"USD","currency_prefix_d":"$","currency_prefix_c":"\u00a2","currency_name_long":"US Dollars"},"blocked_count":0}}
[2025-10-16 15:25:47] Phone: +63912345678 | HTTP: 200 | Response: {"http_code":200,"response_code":"SUCCESS","response_msg":"Messages queued for delivery.","data":{"total_price":0,"total_count":1,"queued_count":0,"messages":[{"to":"+63912345678","body":"Hello, this is Our Store.\nHELLO, THIS IS ONLY TESTING FOR THE SMS \n\nThank You!","from":"ClickSend","schedule":"","message_id":"1F0AA615-5721-62C8-83C5-1F8EACC30BE9","custom_string":"","is_shared_system_number":true,"status":"INVALID_RECIPIENT"}],"_currency":{"currency_name_short":"USD","currency_prefix_d":"$","currency_prefix_c":"\u00a2","currency_name_long":"US Dollars"},"blocked_count":0}}
[2025-10-16 15:25:47] Phone: +639517482469 | HTTP: 200 | Response: {"http_code":200,"response_code":"SUCCESS","response_msg":"Messages queued for delivery.","data":{"total_price":0.2759,"total_count":1,"queued_count":1,"messages":[{"direction":"out","date":1760599547,"to":"+639517482469","body":"Hello, this is Our Store.\nHELLO, THIS IS ONLY TESTING FOR THE SMS \n\nThank You!","from":"ClickSend","schedule":1760599547,"message_id":"1F0AA615-5D06-6B98-B6BA-B9C856BE482C","message_parts":1,"message_price":"0.2759","from_email":null,"list_id":null,"custom_string":"","contact_id":null,"user_id":647044,"subaccount_id":737447,"is_shared_system_number":false,"country":"PH","carrier":"Smart","status":"SUCCESS"}],"_currency":{"currency_name_short":"USD","currency_prefix_d":"$","currency_prefix_c":"\u00a2","currency_name_long":"US Dollars"},"blocked_count":0}}
[2025-10-16 15:42:23] Phone: +639537882603 | HTTP: 200 | Response: {"http_code":200,"response_code":"SUCCESS","response_msg":"Messages queued for delivery.","data":{"total_price":0.2759,"total_count":1,"queued_count":1,"messages":[{"direction":"out","date":1760600543,"to":"+639537882603","body":"Hello, this is Tata Tea's Coffee Shop.\nTHIS IS FOR TESTING ONLY\n\nTHANK YOU!","from":"ClickSend","schedule":1760600543,"message_id":"1F0AA63A-7511-6218-85D5-093B67878C0F","message_parts":1,"message_price":"0.2759","from_email":null,"list_id":null,"custom_string":"","contact_id":null,"user_id":647044,"subaccount_id":737447,"is_shared_system_number":false,"country":"PH","carrier":"Globe","status":"SUCCESS"}],"_currency":{"currency_name_short":"USD","currency_prefix_d":"$","currency_prefix_c":"\u00a2","currency_name_long":"US Dollars"},"blocked_count":0}}
[2025-10-16 15:42:24] Phone: 223 | HTTP: 200 | Response: {"http_code":200,"response_code":"SUCCESS","response_msg":"Messages queued for delivery.","data":{"total_price":0,"total_count":1,"queued_count":0,"messages":[{"to":"223","body":"Hello, this is Tata Tea's Coffee Shop.\nTHIS IS FOR TESTING ONLY\n\nTHANK YOU!","from":"ClickSend","schedule":"","message_id":"1F0AA63A-7C21-6B20-A2E9-992A5E6E3733","custom_string":"","is_shared_system_number":true,"status":"INVALID_RECIPIENT"}],"_currency":{"currency_name_short":"USD","currency_prefix_d":"$","currency_prefix_c":"\u00a2","currency_name_long":"US Dollars"},"blocked_count":0}}
[2025-10-16 15:42:25] Phone: 1234567 | HTTP: 200 | Response: {"http_code":200,"response_code":"SUCCESS","response_msg":"Messages queued for delivery.","data":{"total_price":0,"total_count":1,"queued_count":0,"messages":[{"to":"1234567","body":"Hello, this is Tata Tea's Coffee Shop.\nTHIS IS FOR TESTING ONLY\n\nTHANK YOU!","from":"ClickSend","schedule":"","message_id":"1F0AA63A-84EB-699A-94A6-3D3F8EE71029","custom_string":"","is_shared_system_number":true,"status":"INVALID_RECIPIENT"}],"_currency":{"currency_name_short":"USD","currency_prefix_d":"$","currency_prefix_c":"\u00a2","currency_name_long":"US Dollars"},"blocked_count":0}}
[2025-10-16 15:42:25] Phone: 123456789 | HTTP: 200 | Response: {"http_code":200,"response_code":"SUCCESS","response_msg":"Messages queued for delivery.","data":{"total_price":0,"total_count":1,"queued_count":0,"messages":[{"to":"123456789","body":"Hello, this is Tata Tea's Coffee Shop.\nTHIS IS FOR TESTING ONLY\n\nTHANK YOU!","from":"ClickSend","schedule":"","message_id":"1F0AA63A-8C92-6DBA-8BF3-25CDDFC24D62","custom_string":"","is_shared_system_number":true,"status":"INVALID_RECIPIENT"}],"_currency":{"currency_name_short":"USD","currency_prefix_d":"$","currency_prefix_c":"\u00a2","currency_name_long":"US Dollars"},"blocked_count":0}}
[2025-10-16 15:42:26] Phone: 4568 | HTTP: 200 | Response: {"http_code":200,"response_code":"SUCCESS","response_msg":"Messages queued for delivery.","data":{"total_price":0,"total_count":1,"queued_count":0,"messages":[{"to":"4568","body":"Hello, this is Tata Tea's Coffee Shop.\nTHIS IS FOR TESTING ONLY\n\nTHANK YOU!","from":"ClickSend","schedule":"","message_id":"1F0AA63A-9489-6064-B905-A1B872773554","custom_string":"","is_shared_system_number":true,"status":"INVALID_RECIPIENT"}],"_currency":{"currency_name_short":"USD","currency_prefix_d":"$","currency_prefix_c":"\u00a2","currency_name_long":"US Dollars"},"blocked_count":0}}
[2025-10-16 15:42:27] Phone: 211 | HTTP: 200 | Response: {"http_code":200,"response_code":"SUCCESS","response_msg":"Messages queued for delivery.","data":{"total_price":0,"total_count":1,"queued_count":0,"messages":[{"to":"211","body":"Hello, this is Tata Tea's Coffee Shop.\nTHIS IS FOR TESTING ONLY\n\nTHANK YOU!","from":"ClickSend","schedule":"","message_id":"1F0AA63A-9C2E-6422-989A-51D764D8EED3","custom_string":"","is_shared_system_number":true,"status":"INVALID_RECIPIENT"}],"_currency":{"currency_name_short":"USD","currency_prefix_d":"$","currency_prefix_c":"\u00a2","currency_name_long":"US Dollars"},"blocked_count":0}}
[2025-10-16 15:42:28] Phone: +639662237309 | HTTP: 200 | Response: {"http_code":200,"response_code":"SUCCESS","response_msg":"Messages queued for delivery.","data":{"total_price":0.4228,"total_count":1,"queued_count":0,"messages":[{"to":"+639662237309","body":"Hello, this is Tata Tea's Coffee Shop.\nTHIS IS FOR TESTING ONLY\n\nTHANK YOU!","from":"ClickSend","schedule":"","message_id":"1F0AA63A-A2FB-6B24-9C55-5FC91A67C1FF","message_parts":1,"message_price":"0.4228","custom_string":"","is_shared_system_number":false,"country":"PH","carrier":"Globe","status":"INSUFFICIENT_CREDIT"}],"_currency":{"currency_name_short":"USD","currency_prefix_d":"$","currency_prefix_c":"\u00a2","currency_name_long":"US Dollars"},"blocked_count":0}}
[2025-10-16 15:42:28] Phone: 741 | HTTP: 200 | Response: {"http_code":200,"response_code":"SUCCESS","response_msg":"Messages queued for delivery.","data":{"total_price":0,"total_count":1,"queued_count":0,"messages":[{"to":"741","body":"Hello, this is Tata Tea's Coffee Shop.\nTHIS IS FOR TESTING ONLY\n\nTHANK YOU!","from":"ClickSend","schedule":"","message_id":"1F0AA63A-A806-6498-BD5E-D3E8A5AF01B0","custom_string":"","is_shared_system_number":true,"status":"INVALID_RECIPIENT"}],"_currency":{"currency_name_short":"USD","currency_prefix_d":"$","currency_prefix_c":"\u00a2","currency_name_long":"US Dollars"},"blocked_count":0}}
[2025-10-16 15:42:29] Phone: aweaw | HTTP: 200 | Response: {"http_code":200,"response_code":"SUCCESS","response_msg":"Messages queued for delivery.","data":{"total_price":0,"total_count":1,"queued_count":0,"messages":[{"to":"","body":"Hello, this is Tata Tea's Coffee Shop.\nTHIS IS FOR TESTING ONLY\n\nTHANK YOU!","from":"ClickSend","schedule":"","message_id":"1F0AA63A-AD3E-6D5C-B780-4B8B26A56904","custom_string":"","is_shared_system_number":true,"status":"INVALID_RECIPIENT"}],"_currency":{"currency_name_short":"USD","currency_prefix_d":"$","currency_prefix_c":"\u00a2","currency_name_long":"US Dollars"},"blocked_count":0}}
[2025-10-16 15:42:29] Phone: awe | HTTP: 200 | Response: {"http_code":200,"response_code":"SUCCESS","response_msg":"Messages queued for delivery.","data":{"total_price":0,"total_count":1,"queued_count":0,"messages":[{"to":"","body":"Hello, this is Tata Tea's Coffee Shop.\nTHIS IS FOR TESTING ONLY\n\nTHANK YOU!","from":"ClickSend","schedule":"","message_id":"1F0AA63A-B2A9-67A6-AADD-519C39B8F9EA","custom_string":"","is_shared_system_number":true,"status":"INVALID_RECIPIENT"}],"_currency":{"currency_name_short":"USD","currency_prefix_d":"$","currency_prefix_c":"\u00a2","currency_name_long":"US Dollars"},"blocked_count":0}}
[2025-10-16 15:42:30] Phone: 14586 | HTTP: 200 | Response: {"http_code":200,"response_code":"SUCCESS","response_msg":"Messages queued for delivery.","data":{"total_price":0,"total_count":1,"queued_count":0,"messages":[{"to":"14586","body":"Hello, this is Tata Tea's Coffee Shop.\nTHIS IS FOR TESTING ONLY\n\nTHANK YOU!","from":"ClickSend","schedule":"","message_id":"1F0AA63A-B7BF-6F7E-9BE4-0D8E5F57E82A","custom_string":"","is_shared_system_number":true,"status":"INVALID_RECIPIENT"}],"_currency":{"currency_name_short":"USD","currency_prefix_d":"$","currency_prefix_c":"\u00a2","currency_name_long":"US Dollars"},"blocked_count":0}}
[2025-10-16 15:42:31] Phone: test | HTTP: 200 | Response: {"http_code":200,"response_code":"SUCCESS","response_msg":"Messages queued for delivery.","data":{"total_price":0,"total_count":1,"queued_count":0,"messages":[{"to":"","body":"Hello, this is Tata Tea's Coffee Shop.\nTHIS IS FOR TESTING ONLY\n\nTHANK YOU!","from":"ClickSend","schedule":"","message_id":"1F0AA63A-BEA1-6838-A153-CBF78692D10A","custom_string":"","is_shared_system_number":true,"status":"INVALID_RECIPIENT"}],"_currency":{"currency_name_short":"USD","currency_prefix_d":"$","currency_prefix_c":"\u00a2","currency_name_long":"US Dollars"},"blocked_count":0}}
[2025-10-16 15:42:31] Phone: test | HTTP: 200 | Response: {"http_code":200,"response_code":"SUCCESS","response_msg":"Messages queued for delivery.","data":{"total_price":0,"total_count":1,"queued_count":0,"messages":[{"to":"","body":"Hello, this is Tata Tea's Coffee Shop.\nTHIS IS FOR TESTING ONLY\n\nTHANK YOU!","from":"ClickSend","schedule":"","message_id":"1F0AA63A-C3F4-698E-A04C-89D56045846B","custom_string":"","is_shared_system_number":true,"status":"INVALID_RECIPIENT"}],"_currency":{"currency_name_short":"USD","currency_prefix_d":"$","currency_prefix_c":"\u00a2","currency_name_long":"US Dollars"},"blocked_count":0}}
[2025-10-16 15:42:32] Phone: +63912345678 | HTTP: 200 | Response: {"http_code":200,"response_code":"SUCCESS","response_msg":"Messages queued for delivery.","data":{"total_price":0,"total_count":1,"queued_count":0,"messages":[{"to":"+63912345678","body":"Hello, this is Tata Tea's Coffee Shop.\nTHIS IS FOR TESTING ONLY\n\nTHANK YOU!","from":"ClickSend","schedule":"","message_id":"1F0AA63A-C8CE-6EC8-9253-0B454627AFE0","custom_string":"","is_shared_system_number":true,"status":"INVALID_RECIPIENT"}],"_currency":{"currency_name_short":"USD","currency_prefix_d":"$","currency_prefix_c":"\u00a2","currency_name_long":"US Dollars"},"blocked_count":0}}
[2025-10-16 15:42:33] Phone: +639517482469 | HTTP: 200 | Response: {"http_code":200,"response_code":"SUCCESS","response_msg":"Messages queued for delivery.","data":{"total_price":0.4228,"total_count":1,"queued_count":0,"messages":[{"to":"+639517482469","body":"Hello, this is Tata Tea's Coffee Shop.\nTHIS IS FOR TESTING ONLY\n\nTHANK YOU!","from":"ClickSend","schedule":"","message_id":"1F0AA63A-D0B9-6C00-A1B2-33F77771ED8B","message_parts":1,"message_price":"0.4228","custom_string":"","is_shared_system_number":false,"country":"PH","carrier":"Smart","status":"INSUFFICIENT_CREDIT"}],"_currency":{"currency_name_short":"USD","currency_prefix_d":"$","currency_prefix_c":"\u00a2","currency_name_long":"US Dollars"},"blocked_count":0}}
[2025-10-16 16:20:31] Phone: 123456789 | HTTP: 200 | Response: {"http_code":200,"response_code":"SUCCESS","response_msg":"Messages queued for delivery.","data":{"total_price":0,"total_count":1,"queued_count":0,"messages":[{"to":"123456789","body":"Hello, this is Tata Tea's Coffee Shop.\nTEST","from":"ClickSend","schedule":"","message_id":"1F0AA68F-AEA0-6628-A233-11F3A75C5AC8","custom_string":"","is_shared_system_number":true,"status":"INVALID_RECIPIENT"}],"_currency":{"currency_name_short":"USD","currency_prefix_d":"$","currency_prefix_c":"\u00a2","currency_name_long":"US Dollars"},"blocked_count":0}}
[2025-10-16 16:20:31] Phone: 211 | HTTP: 200 | Response: {"http_code":200,"response_code":"SUCCESS","response_msg":"Messages queued for delivery.","data":{"total_price":0,"total_count":1,"queued_count":0,"messages":[{"to":"211","body":"Hello, this is Tata Tea's Coffee Shop.\nTEST","from":"ClickSend","schedule":"","message_id":"1F0AA68F-B391-6EDE-A4F9-D59AF9333851","custom_string":"","is_shared_system_number":true,"status":"INVALID_RECIPIENT"}],"_currency":{"currency_name_short":"USD","currency_prefix_d":"$","currency_prefix_c":"\u00a2","currency_name_long":"US Dollars"},"blocked_count":0}}
